"dataset_id","dataset_name","trial_or_study_name","study_family","intervention_or_treatment_class","omics_layer","disease","specimen_type","anatomical_site","study_design","longitudinal","treatment_metadata","usable_for_treatment_response","sample_size_subjects","data_access_status","reuse_readiness","count_as_independent_cohort","manual_review_needed","dataset_url","publication_url","notes"
"DS109","GSE207465 UNITI-2 Crohn whole-blood ustekinumab expression","UNITI","UNITI_ustekinumab_Crohn","anti-IL-12/23","Bulk transcriptomics","Crohn disease","Whole blood","Blood","Clinical trial expression profiling at week 0, week 6, and week 8 after ustekinumab or placebo induction","Yes","Yes","TRUE","Unclear","Public raw CEL files; public processed GEO data","Raw data reusable","Unclear","TRUE","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE207465","https://pubmed.ncbi.nlm.nih.gov/36109152/","Same UNITI family as DS047/GSE112366 and DS107/GSE207022. Blood versus tissue and no subject crosswalk checked; do not count independently from UNITI tissue rows until patient IDs are reconciled."
"DS110","GSE98820 Crohn adalimumab intestinal biopsy expression","Crohn disease intestinal biopsy expression before and after adalimumab treatment","adalimumab_CD_mucosal_response_GSE98820","anti-TNF","Bulk transcriptomics","Crohn disease","Intestinal biopsies","Intestine; colon regions unclear","Before-after adalimumab treatment cohort; biopsies before and after 3 months","Yes","Yes","TRUE","10 patients","Public raw CEL files; public processed GEO data","Raw data reusable","TRUE","FALSE","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE98820","Unclear","No current public overlap evidence with existing anti-TNF rows. Count as independent unless future source review links it to another anti-TNF accession."
"DS111","GSE111761 Crohn anti-TNF LPMC responder expression","anti_TNF_CD_IL23R_Erlangen_GSE111761","anti_TNF_CD_IL23R_Erlangen_GSE111761","anti-TNF; anti-IL-12/23","Bulk transcriptomics","Crohn disease","Isolated lamina propria mononuclear cells","Intestinal lamina propria","Responder versus non-responder mechanistic anti-TNF cohort during ongoing therapy","No","Yes","TRUE","6","Public raw data; public processed GEO data","Analysis-ready candidate","TRUE","FALSE","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE111761","https://pubmed.ncbi.nlm.nih.gov/29848778/","Small mechanistic anti-TNF cohort, not a named trial. Count as independent unless future source review links it to another Erlangen anti-TNF accession."
"DS112","GSE261334 vedolizumab UC circulating immune scRNA-seq","vedolizumab_UC_circulating_immune_scRNAseq_GSE261334","vedolizumab_UC_circulating_immune_scRNAseq_GSE261334","anti-integrin","Single-cell transcriptomics","Ulcerative colitis; healthy controls","Peripheral blood mononuclear cells","Blood/PBMC","Vedolizumab responder/non-responder cohort sampled before treatment and week 6, plus healthy controls","Yes","Yes","TRUE","15 subjects","Public processed data; raw files not public due patient privacy","Processed data reusable","TRUE","FALSE","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE261334","https://pubmed.ncbi.nlm.nih.gov/39343250/","Likely independent vedolizumab UC circulating immune cohort. Count as independent unless future source review identifies overlap with another vedolizumab accession."
"DS113","GSE228165 vedolizumab UC CITE-seq cell communication","vedolizumab_UC_CITEseq_cell_communication_GSE228165","vedolizumab_UC_CITEseq_cell_communication_GSE228165","anti-integrin","Single-cell transcriptomics; CITE-seq / surface-protein profiling","Ulcerative colitis","Peripheral blood and colon immune cells","Blood; colon","Vedolizumab response cohort with peripheral blood and colon immune-cell profiling","Unclear","Yes","TRUE","Unclear","Public GEO record; raw/processed availability requires source-level confirmation","Metadata usable","TRUE","FALSE","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE228165","https://pubmed.ncbi.nlm.nih.gov/37235748/","Likely independent UCSD/Takeda-supported vedolizumab cohort. Manual review should verify exact subject count and whether blood/colon samples are paired before summarizing subjects."
"DS114","GSE250487 anti-integrin UC colon biopsy scRNA-seq","anti_integrin_UC_single_cell_spatial_multiomics","anti_integrin_UC_single_cell_spatial_multiomics","anti-integrin","Single-cell transcriptomics","Ulcerative colitis; healthy controls","Colonic biopsy-derived cells","Colon","Anti-integrin UC single-cell/spatial multi-omics study; colon biopsy scRNA-seq component","No","Yes","TRUE","12 study participants in publication/dbGaP inclusion criteria; dbGaP also reports 15 consented subjects; exact GSE250487 subseries-specific subject count not separately exposed","Public processed GEO/Figshare objects; raw sequencing controlled in dbGaP phs003502.v1.p1","Requires access approval","TRUE","FALSE","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE250487","https://pubmed.ncbi.nlm.nih.gov/38374043/","Family anchor for GSE250498 anti-integrin UC single-cell/spatial multi-omics. GSE250487, GSE250488, and GSE250490 are subseries from the same participant family; do not sum subseries counts as independent cohorts. Subject counts are not one-to-one with GSM counts because samples were pooled and deconvoluted."
"DS115","GSE250488 anti-integrin UC blood scRNA-seq","anti_integrin_UC_single_cell_spatial_multiomics","anti_integrin_UC_single_cell_spatial_multiomics","anti-integrin","Single-cell transcriptomics","Ulcerative colitis; healthy controls","Blood cells","Blood","Matched blood scRNA-seq component of anti-integrin UC study","No","Yes","TRUE","11 analyzed PBL scRNA-seq subjects reported in paper figure caption: HC n=4, UC n=3, UC-VDZ n=4; shared study family total reported as 12 participants, with dbGaP also listing 15 consented subjects","Public processed data; controlled raw data","Requires access approval","FALSE","FALSE","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE250488","https://pubmed.ncbi.nlm.nih.gov/38374043/","Blood scRNA-seq subseries of GSE250498 anti-integrin UC study. Same participant family as DS114/DS116; paper reports PBL scRNA-seq analysis of 11 subjects. Count as a component, not an independent cohort."
"DS116","GSE250490 anti-integrin UC colon biopsy CITE-seq","anti_integrin_UC_single_cell_spatial_multiomics","anti_integrin_UC_single_cell_spatial_multiomics","anti-integrin","Single-cell transcriptomics; CITE-seq / surface-protein profiling","Ulcerative colitis; healthy controls","Colonic biopsy-derived immune/cell suspensions","Colon","Colon biopsy CITE-seq component of anti-integrin UC study","No","Yes","TRUE","12 study participants in publication/dbGaP inclusion criteria; exact GSE250490 CITE-seq subseries-specific subject count not separately exposed by GEO","Public processed data; controlled raw data","Requires access approval","FALSE","FALSE","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE250490","https://pubmed.ncbi.nlm.nih.gov/38374043/","Colon biopsy CITE-seq subseries of GSE250498 anti-integrin UC study. Paper states tissue CITE-seq used colonic biopsies from the same patients; count as a component of DS114, not an independent cohort."
"DS117","EGAS50000000140 IBD PBMC single-nucleus multiome","Multi-omic characterisation of PBMCs in IBD","IBD_PBMC_multiome_EGAS50000000140","Unclear","Single-nucleus multiome; Single-nucleus transcriptomics; Single-nucleus ATAC-seq","Crohn disease; ulcerative colitis","Peripheral blood mononuclear cells / nuclei","Blood/PBMC","PBMC stimulation multiome study with RPMI, LPS, and Salmonella conditions","No","Yes","Unclear","38 patients","Controlled access","Requires access approval","TRUE","FALSE","https://ega-archive.org/studies/EGAS50000000140","Unclear","Controlled-access PBMC single-nucleus multiome row. Count as independent unless future overlap with an existing cohort is found."
"DS122","ST003312/ST003313 Crohn flare serum and fecal metabolomics","Integrative serum and fecal metabolomics before Crohn disease flare","Crohn_flare_serum_fecal_metabolomics","Unclear","Metabolomics","Crohn disease; controls","Serum; stool samples","Blood/serum; stool","Longitudinal or flare-prediction multi-specimen metabolomics study","Yes","Unclear","TRUE","80 CD patients and 43 controls reported by publication","Public raw data; public processed Metabolomics Workbench data","Raw data reusable","TRUE","TRUE","https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?Mode=Study&StudyID=ST003312","https://pubmed.ncbi.nlm.nih.gov/40650893/","Combined serum and fecal Crohn flare metabolomics study-family row. ST003312 and ST003313 should be searchable together and counted once; do not create separate independent cohort rows for the serum and feces accessions."
